family,name,n,tau_real,tau_diff_real,s,phi,nullpos_iid,p_iid,nullpos_diff_iid,p_diff_iid,nullpos_ar1,p_ar1,nullpos_diff_ar1,p_diff_ar1
Historical,Telephones,50,0.8338461538461538,0.7333333333333332,0.06583034852608745,0.95,0.55,0.015,0.525,0.05,0.545,0.015,0.595,0.065
Historical,Passenger Cars,44,0.4782608695652174,0.05928853754940712,0.05020332810960744,0.95,0.525,0.185,0.49,0.475,0.405,0.14,0.51,0.485
Historical,Steamships,54,0.9596774193548389,0.7720430107526882,0.10709500501676836,0.22712397887060165,0.49171270718232046,0.0055248618784530384,0.48044692737430167,0.0670391061452514,0.5146198830409356,0.0,0.4411764705882353,0.041176470588235294
Historical,High-Speed Rail,42,0.7904761904761906,0.7789473684210527,0.06129896922129139,0.95,0.51,0.01,0.455,0.025,0.495,0.05,0.565,0.06
Historical,Hydroelectricity,32,0.7499999999999999,0.9666666666666667,0.06847148218118816,0.613949454179845,0.54,0.055,0.52,0.0,0.495,0.065,0.51,0.0
Historical,Hydroelectricity,57,0.042735042735042736,0.8215384615384616,0.039088096072412,0.9141694178307455,0.445,0.42,0.535,0.02,0.45595854922279794,0.44041450777202074,0.5340314136125655,0.03664921465968586
Historical,Nuclear Energy,36,0.6,0.9999999999999999,0.0671341984152466,0.8092194207366,0.515,0.205,0.495,0.055,0.4271356783919598,0.21608040201005024,0.5904255319148937,0.06914893617021277
Historical,Nuclear Energy,35,0.8166666666666667,0.7714285714285715,0.04732221189125911,0.4632191186699417,0.545,0.065,0.535,0.07,0.51,0.035,0.535,0.075
Historical,Hydroelectricity,47,0.9130434782608695,0.974025974025974,0.044001436980361054,0.7964747462506818,0.51,0.01,0.505,0.0,0.535,0.0,0.57,0.0
Historical,Hydroelectricity,57,0.6369230769230769,0.9066666666666665,0.06483887074423754,0.6019051991778823,0.5,0.13,0.52,0.0,0.525,0.135,0.5177664974619289,0.005076142131979695
Historical,Hydroelectricity,56,-0.3333333333333334,,0.052741472811046276,0.4458576172916077,0.5113636363636364,0.6818181818181818,0.5375,,0.4642857142857143,0.6845238095238095,0.5370370370370371,
