tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Telephones,FRA,France,-,1889,1985,1985,pre_saturation,national,regional_csv
Passenger Cars,CAN,Canada,-,1904,1998,1998,pre_saturation,national,regional_csv
Passenger Cars,GBR,United Kingdom,-,1904,1998,1998,pre_saturation,national,regional_csv
Railroad,UGA,Uganda,kilometers,1905,1986,1998,saturating,national,regional_csv
Railroad,MDG,Madagascar,kilometers,1905,1984,1998,saturating,national,regional_csv
Railroad,MAR,Morocco,kilometers,1905,1928,1998,pre_saturation,national,regional_csv
Railroad,SDN,Sudan,kilometers,1906,1977,1998,saturating,national,regional_csv
Railroad,CIV,Ivory Coast,kilometers,1905,1955,1998,saturating,national,regional_csv
Railroad,COG,Republic of the Congo,kilometers,1905,1995,1998,saturating,national,regional_csv
Telephones,AUS,Australia,-,1901,1993,1993,pre_saturation,national,regional_csv
Telephones,NLD,Netherlands,-,1900,2002,2003,pre_saturation,national,regional_csv
Telephones,EGY,Egypt,-,1911,2002,2002,pre_saturation,national,regional_csv
Railroad,MWI,Malawi,kilometers,1905,1989,1995,saturating,national,regional_csv
Railroad,SOM,Somalia,kilometers,1905,1927,1953,saturating,national,regional_csv
Telephones,DNK,Denmark,-,1900,1990,1990,pre_saturation,national,regional_csv
Washing Machines,USA,US,MW,1920,2008,2008,pre_saturation,national,regional_csv
Telephones,URY,Uruguay,-,1889,1988,1988,pre_saturation,national,regional_csv
Railroad,TUN,Tunisia,kilometers,1909,1996,1998,saturating,national,regional_csv
Passenger Cars,NOR,Norway,-,1914,2000,2000,pre_saturation,national,regional_csv
Refrigerators,USA,US,MW,1918,2003,2003,pre_saturation,national,regional_csv
Telephones,SWE,Sweden,-,1885,1992,1993,pre_saturation,national,regional_csv
Laundry Dryers,USA,US,MW,1920,2003,2003,pre_saturation,national,regional_csv
Passenger Cars,CHE,Switzerland,-,1910,2000,2000,pre_saturation,national,regional_csv
Passenger Cars,ITA,Italy,-,1914,1998,1999,pre_saturation,national,regional_csv
Passenger Cars,CHL,Chile,-,1915,1997,1997,pre_saturation,national,regional_csv
Passenger Cars,DNK,Denmark,-,1914,2000,2000,pre_saturation,national,regional_csv
Telephones,NOR,Norway,-,1900,1984,1984,pre_saturation,national,regional_csv
Passenger Cars,ARG,Argentina,-,1920,1998,1998,pre_saturation,national,regional_csv
Passenger Cars,SWE,Sweden,-,1923,2000,2000,pre_saturation,national,regional_csv
Passenger Cars,JPN,Japan,-,1914,1997,1997,pre_saturation,national,regional_csv
Passenger Cars,IRL,Ireland,-,1923,2000,2000,pre_saturation,national,regional_csv
Passenger Cars,MEX,Mexico,-,1924,2000,2000,pre_saturation,national,regional_csv
Railroad,PHL,Philippines,kilometers,1900,1917,1936,saturating,national,regional_csv
Passenger Cars,AUS,Australia,-,1923,1997,1997,pre_saturation,national,regional_csv
Radio,FIN,Finland,-,1926,1999,1999,pre_saturation,national,regional_csv
Passenger Cars,ZAF,South Africa,-,1920,1996,1996,pre_saturation,national,regional_csv
Railroad,BWA,Botswana,kilometers,1920,1974,1993,saturating,national,regional_csv
Steamships,AUT,Austria,-,1837,1912,1912,pre_saturation,national,regional_csv
Telephones,HUN,Hungary,-,1922,1998,1998,pre_saturation,national,regional_csv
