tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Primary Copper,World,World,metric tons,1900,2016,2018,saturating,global,regional_csv
Silver,World,World,metric tons,1900,2016,2018,saturating,global,regional_csv
Railroad,GTM,Guatemala,kilometers,1875,1929,1968,saturating,national,regional_csv
Gold,ZAF,South Africa,metric tons,1884,1970,2004,pre_saturation,national,regional_csv
Cane Sugar,MEX,Mexico,thousand metric tons,1892,2001,2010,pre_saturation,national,regional_csv
Beer Production,ROU,Romania,thousand hectolitres,1881,2007,2007,pre_saturation,national,regional_csv
Telegraph Traffic,AUS,Australia,Number (millions),1863,1946,1951,saturating,national,regional_csv
Beer Production,AUS,Australia,thousand hectolitres,1889,1980,1983,saturating,national,regional_csv
Gold,World,World,metric tons,1900,2018,2018,pre_saturation,global,regional_csv
Railroad,BLZ,Belize,kilometers,1875,1916,1921,saturating,national,regional_csv
Cobalt,World,World,metric tons,1901,2018,2019,pre_saturation,global,regional_csv
Lead,USA,United States,metric tons,1900,1926,1929,saturating,national,regional_csv
Telegraph Traffic,FIN,Finland,Number (millions),1866,1947,1956,saturating,national,regional_csv
Ammonia Synthesis,World,World,thousand tons of nitrogen equivalent,1905,2019,2022,pre_saturation,global,regional_csv
Sand and Gravel|Industrial,USA,United States,metric tons,1902,2018,2019,pre_saturation,national,regional_csv
Steamships,FIN,Finland,-,1839,1920,1920,declining_structural,national,regional_csv
Sand and Gravel|Construction,USA,United States,metric tons,1902,2006,2019,pre_saturation,national,regional_csv
Salt Production,USA,United States,metric tons,1900,2008,2017,pre_saturation,national,regional_csv
Ammonia Synthesis,BEL,Belgium,thousand tons of nitrogen equivalent,1905,2007,2022,pre_saturation,national,regional_csv
Ammonia Synthesis,CAN,Canada,thousand tons of nitrogen equivalent,1905,1999,2022,pre_saturation,national,regional_csv
Ammonia Synthesis,FRA,France,thousand tons of nitrogen equivalent,1905,2007,2022,pre_saturation,national,regional_csv
Ammonia Synthesis,DEU,Germany,thousand tons of nitrogen equivalent,1905,1980,1988,saturating,national,regional_csv
Ammonia Synthesis,ITA,Italy,thousand tons of nitrogen equivalent,1905,1979,2022,pre_saturation,national,regional_csv
Ammonia Synthesis,JPN,Japan,thousand tons of nitrogen equivalent,1905,1974,2022,pre_saturation,national,regional_csv
Ammonia Synthesis,NLD,Netherlands,thousand tons of nitrogen equivalent,1905,2016,2022,pre_saturation,national,regional_csv
Ammonia Synthesis,POL,Poland,thousand tons of nitrogen equivalent,1905,2020,2022,pre_saturation,national,regional_csv
Ammonia Synthesis,SWE,Sweden,thousand tons of nitrogen equivalent,1905,1984,2022,pre_saturation,national,regional_csv
Ammonia Synthesis,USA,USA,thousand tons of nitrogen equivalent,1905,1996,2022,pre_saturation,national,regional_csv
Telegraph Traffic,JPN,Japan,Number (millions),1869,1963,1987,pre_saturation,national,regional_csv
Cane Sugar,NIC,Nicaragua,thousand metric tons,1893,2009,2010,pre_saturation,national,regional_csv
Railroad,HTI,Haiti,kilometers,1875,1931,1965,saturating,national,regional_csv
Beer Production,DNK,Denmark,thousand hectolitres,1891,1983,2007,pre_saturation,national,regional_csv
Gold,GHA,Ghana,metric tons,1889,1999,2004,pre_saturation,national,regional_csv
Iron Ore,World,World,metric tons,1904,2018,2019,pre_saturation,global,regional_csv
Crude Oil,IDN,Indonesia,thousand metric tons,1893,1977,2008,pre_saturation,national,regional_csv
Cane Sugar,SLV,El Salvador,thousand metric tons,1894,1999,2010,pre_saturation,national,regional_csv
Sulphuric Acid,SWE,Sweden,thousand metric tons,1887,1986,2003,pre_saturation,national,regional_csv
Railroad,PER,Peru,kilometers,1883,1949,1952,saturating,national,regional_csv
Tin,World,World,thousand metric tons,1905,2017,2019,pre_saturation,global,regional_csv
Postal Traffic,JPN,Japan,Number (millions),1873,1993,1993,pre_saturation,national,regional_csv
Crude Oil,ROU,Romania,thousand metric tons,1895,1976,2008,pre_saturation,national,regional_csv
Railroad,HND,Honduras,kilometers,1875,1926,1937,saturating,national,regional_csv
Telegraph Traffic,GBR,United Kingdom,Number (millions),1870,1919,1919,declining_structural,national,regional_csv
Beer Production,JPN,Japan,thousand hectolitres,1896,1994,1996,saturating,national,regional_csv
Cane Sugar,IND,India,thousand metric tons,1898,2007,2010,pre_saturation,national,regional_csv
Cadmium Refining,USA,United States,metric tons,1900,1969,2010,pre_saturation,national,regional_csv
Telephones,JPN,Japan,-,1892,2000,2002,saturating,national,regional_csv
Beer Production,CHE,Switzerland,thousand hectolitres,1885,1971,1995,pre_saturation,national,regional_csv
Postal Traffic,MEX,Mexico,Number (millions),1878,1976,1993,pre_saturation,national,regional_csv
Telegraph Traffic,MEX,Mexico,Number (millions),1877,1982,1988,saturating,national,regional_csv
Zinc,AUS,Australia,thousand metric tons,1889,2002,2004,pre_saturation,national,regional_csv
Crude Oil,RUS,Russia,thousand metric tons,1895,1983,1989,saturating,national,regional_csv
Cane Sugar,JPN,Japan,thousand metric tons,1898,1989,2010,pre_saturation,national,regional_csv
Sulphuric Acid,ITA,Italy,thousand metric tons,1893,1967,1969,saturating,national,regional_csv
Crude Oil,MEX,Mexico,thousand metric tons,1901,2004,2006,saturating,national,regional_csv
Milk Production,NLD,Netherlands,thousand metric tons,1903,1983,2010,pre_saturation,national,regional_csv
Stove,USA,United States,%,1900,1972,2011,saturating,national,regional_csv
Cane Sugar,GTM,Guatemala,thousand metric tons,1901,2005,2010,pre_saturation,national,regional_csv
Gold,ZWE,Zimbabwe,metric tons,1898,1916,1916,declining_structural,national,regional_csv
Cane Sugar,DOM,Dominican Republic,thousand metric tons,1904,1976,2010,pre_saturation,national,regional_csv
Cane Sugar,USA,USA,thousand metric tons,1885,1992,1993,pre_saturation,national,regional_csv
Nickel Production,USA,United States,thousand metric tons,1900,1997,2012,pre_saturation,national,regional_csv
Milk Production,JPN,Japan,thousand metric tons,1899,1996,2005,saturating,national,regional_csv
Passenger Cars,USA,US,MW,1900,2005,2005,pre_saturation,national,regional_csv
Railroad,DOM,Dominican Republic,kilometers,1885,1940,1973,saturating,national,regional_csv
Cane Sugar,MOZ,Mozambique,thousand metric tons,1901,1972,2010,pre_saturation,national,regional_csv
Telephones,ITA,Italy,-,1883,1990,1990,pre_saturation,national,regional_csv
Telephones,CHE,Switzerland,-,1900,1991,1993,saturating,national,regional_csv
Milk Production,AUS,Australia,thousand metric tons,1907,2002,2010,pre_saturation,national,regional_csv
Passenger Cars,USA,United States,-,1900,2001,2002,pre_saturation,national,regional_csv
Cane Sugar,TWN,Taiwan,thousand metric tons,1897,1938,1999,pre_saturation,national,regional_csv
Silver,ZAF,South Africa,metric tons,1902,1986,2004,pre_saturation,national,regional_csv
Railroad,MYS,Malaysia,kilometers,1886,1973,1991,saturating,national,regional_csv
Telegraph Traffic,EGY,Egypt,Number (millions),1880,1925,1986,pre_saturation,national,regional_csv
Lead,World,World,metric tons,1900,2012,2018,pre_saturation,global,regional_csv
Railroad,BOL,Bolivia,kilometers,1890,1987,1993,saturating,national,regional_csv
Crude Oil,TTO,Trinidad & Tobago,thousand metric tons,1910,1978,2008,pre_saturation,national,regional_csv
Passenger Cars,FRA,France,-,1895,2000,2000,pre_saturation,national,regional_csv
Crude Oil,EGY,Egypt,thousand metric tons,1911,1992,1995,saturating,national,regional_csv
Natural Gas Power,World,World,MW,1903,2000,2000,pre_saturation,global,regional_csv
Beer Production,URY,Uruguay,thousand hectolitres,1891,1961,2003,pre_saturation,national,regional_csv
