,Biochar Soil Amendment,Bioenergy with Carbon Capture and Storage,Direct Air Carbon Capture and Storage,Enhanced Weathering
2023,0.79,0.6061,8e-05,0.0028
2024,1.13,0.6635,0.00141,0.0063
2025,1.46,0.5105,0.00148,0.00379
2026,1.7795,3.33,0.5494800000000001,0.05149
2027,2.2043,6.1495,1.09848,0.08269
2028,2.8512,10.024000000000001,1.6474799999999998,0.11269
2029,3.8712,14.3435,2.1964799999999998,0.12269
2030,5.3496,18.663,2.7454799999999997,0.13098999999999997
